file	batch
ENCFF170JPS_ENCFF041BXD.Aligned.sortedByCoord.out.bed	15
ENCFF573JFO_ENCFF857IWY.Aligned.sortedByCoord.out.bed	15
ENCFF854HZB_ENCFF693SYT.Aligned.sortedByCoord.out.bed	10
ENCFF455XWV_ENCFF045UGV.Aligned.sortedByCoord.out.bed	10
ENCFF197SMX_ENCFF060QXE.Aligned.sortedByCoord.out.bed	10
ENCFF589AEL_ENCFF662GDS.Aligned.sortedByCoord.out.bed	10
ENCFF010XDI_ENCFF183XAT.Aligned.sortedByCoord.out.bed	14
ENCFF615OEL_ENCFF696CXJ.Aligned.sortedByCoord.out.bed	14
ENCFF507ZIL_ENCFF042ECU.Aligned.sortedByCoord.out.bed	14
ENCFF821FFX_ENCFF544PQM.Aligned.sortedByCoord.out.bed	14
ENCFF866QCQ_ENCFF239DLV.Aligned.sortedByCoord.out.bed	14
ENCFF111LQS_ENCFF907HDO.Aligned.sortedByCoord.out.bed	14
ENCFF056ZZS_ENCFF074PFU.Aligned.sortedByCoord.out.bed	10
ENCFF967LBC_ENCFF192MUI.Aligned.sortedByCoord.out.bed	10
ENCFF065RTJ_ENCFF587WWR.Aligned.sortedByCoord.out.bed	10
ENCFF742NWQ_ENCFF265GAA.Aligned.sortedByCoord.out.bed	10
ENCFF635YVX_ENCFF822TPK.Aligned.sortedByCoord.out.bed	4
ENCFF395QIG_ENCFF813WSB.Aligned.sortedByCoord.out.bed	4
ENCFF811UZO_ENCFF926TKN.Aligned.sortedByCoord.out.bed	10
ENCFF121APT_ENCFF636IGG.Aligned.sortedByCoord.out.bed	10
ENCFF793KMC_ENCFF703KJU.Aligned.sortedByCoord.out.bed	3
ENCFF823IRO_ENCFF739NKQ.Aligned.sortedByCoord.out.bed	3
ENCFF643YEM_ENCFF424RQP.Aligned.sortedByCoord.out.bed	3
ENCFF365SZF_ENCFF412ZCN.Aligned.sortedByCoord.out.bed	3
ENCFF262OZH_ENCFF213QGB.Aligned.sortedByCoord.out.bed	3
ENCFF435VEI_ENCFF902WLV.Aligned.sortedByCoord.out.bed	3
ENCFF804KNI_ENCFF758XJP.Aligned.sortedByCoord.out.bed	2
ENCFF018ODG_ENCFF258IPH.Aligned.sortedByCoord.out.bed	2
ENCFF919AVX_ENCFF225XYU.Aligned.sortedByCoord.out.bed	3
ENCFF184XJG_ENCFF050LCF.Aligned.sortedByCoord.out.bed	3
ENCFF810ZJT_ENCFF413CPJ.Aligned.sortedByCoord.out.bed	3
ENCFF293ERB_ENCFF342AOR.Aligned.sortedByCoord.out.bed	3
ENCFF736MRI_ENCFF842DBS.Aligned.sortedByCoord.out.bed	4
ENCFF472UKZ_ENCFF092WUK.Aligned.sortedByCoord.out.bed	4
ENCFF536NLJ_ENCFF727YFT.Aligned.sortedByCoord.out.bed	3
ENCFF142DJA_ENCFF115ETW.Aligned.sortedByCoord.out.bed	3
ENCFF218XGI_ENCFF713QMR.Aligned.sortedByCoord.out.bed	3
ENCFF233LCM_ENCFF686XKK.Aligned.sortedByCoord.out.bed	3
ENCFF995FKT_ENCFF748HJK.Aligned.sortedByCoord.out.bed	14
ENCFF585CVR_ENCFF969QJR.Aligned.sortedByCoord.out.bed	14
ENCFF168ZWJ_ENCFF177PKE.Aligned.sortedByCoord.out.bed	1
ENCFF373IOW_ENCFF937QMD.Aligned.sortedByCoord.out.bed	1
ENCFF581ZLN_ENCFF170JEX.Aligned.sortedByCoord.out.bed	10
ENCFF596AXH_ENCFF434IKM.Aligned.sortedByCoord.out.bed	10
ENCFF990GBY_ENCFF260HRX.Aligned.sortedByCoord.out.bed	10
ENCFF603HYQ_ENCFF726DVL.Aligned.sortedByCoord.out.bed	10
ENCFF953VMN_ENCFF965YDC.Aligned.sortedByCoord.out.bed	10
ENCFF973FJR_ENCFF345NOB.Aligned.sortedByCoord.out.bed	10
ENCFF356FYO_ENCFF719KCX.Aligned.sortedByCoord.out.bed	14
ENCFF703EJH_ENCFF804RBE.Aligned.sortedByCoord.out.bed	14
ENCFF602CTL_ENCFF275HJH.Aligned.sortedByCoord.out.bed	1
ENCFF627HYR_ENCFF165LJE.Aligned.sortedByCoord.out.bed	1
ENCFF525TWL_ENCFF996DZC.Aligned.sortedByCoord.out.bed	6
ENCFF901BLS_ENCFF220NYZ.Aligned.sortedByCoord.out.bed	6
ENCFF537DVA_ENCFF028SSM.Aligned.sortedByCoord.out.bed	6
ENCFF448AHS_ENCFF865PCG.Aligned.sortedByCoord.out.bed	6
ENCFF885PEU_ENCFF449AMX.Aligned.sortedByCoord.out.bed	2
ENCFF646NPM_ENCFF553BLJ.Aligned.sortedByCoord.out.bed	2
ENCFF463WZI_ENCFF210IRQ.Aligned.sortedByCoord.out.bed	2
ENCFF793JWZ_ENCFF278KVJ.Aligned.sortedByCoord.out.bed	2
ENCFF492NKK_ENCFF662UHG.Aligned.sortedByCoord.out.bed	7
ENCFF259XTY_ENCFF697DQP.Aligned.sortedByCoord.out.bed	7
ENCFF558DPZ_ENCFF169FEG.Aligned.sortedByCoord.out.bed	1
ENCFF636MSL_ENCFF201RGO.Aligned.sortedByCoord.out.bed	1
ENCFF102EDV_ENCFF592EQR.Aligned.sortedByCoord.out.bed	7
ENCFF557EDO_ENCFF115WDV.Aligned.sortedByCoord.out.bed	7
ENCFF145NIK_ENCFF514CDT.Aligned.sortedByCoord.out.bed	8
ENCFF972IWN_ENCFF467NYT.Aligned.sortedByCoord.out.bed	8
ENCFF453GKS_ENCFF813ILG.Aligned.sortedByCoord.out.bed	4
ENCFF976KNT_ENCFF008MCE.Aligned.sortedByCoord.out.bed	4
ENCFF812WHY_ENCFF525YMY.Aligned.sortedByCoord.out.bed	16
ENCFF390CPT_ENCFF370ZMO.Aligned.sortedByCoord.out.bed	16
ENCFF685BIE_ENCFF736ZWG.Aligned.sortedByCoord.out.bed	16
ENCFF903MWV_ENCFF864UBU.Aligned.sortedByCoord.out.bed	4
ENCFF402CUS_ENCFF295CWD.Aligned.sortedByCoord.out.bed	4
ENCFF632DVV_ENCFF136CKK.Aligned.sortedByCoord.out.bed	14
ENCFF048JFN_ENCFF698UZM.Aligned.sortedByCoord.out.bed	14
ENCFF564MFW_ENCFF433MIX.Aligned.sortedByCoord.out.bed	3
ENCFF201NZA_ENCFF730BLK.Aligned.sortedByCoord.out.bed	3
ENCFF510WUR_ENCFF752GNB.Aligned.sortedByCoord.out.bed	5
ENCFF912COC_ENCFF828OZT.Aligned.sortedByCoord.out.bed	5
ENCFF827AVT_ENCFF215ISD.Aligned.sortedByCoord.out.bed	5
ENCFF540YPZ_ENCFF589FWV.Aligned.sortedByCoord.out.bed	5
ENCFF019PTP_ENCFF522HHX.Aligned.sortedByCoord.out.bed	1
ENCFF197NKM_ENCFF476YEI.Aligned.sortedByCoord.out.bed	1
ENCFF066NRA_ENCFF404YUJ.Aligned.sortedByCoord.out.bed	2
ENCFF748HII_ENCFF791KFP.Aligned.sortedByCoord.out.bed	2
ENCFF136JIN_ENCFF333VBK.Aligned.sortedByCoord.out.bed	3
ENCFF681YRX_ENCFF076QNU.Aligned.sortedByCoord.out.bed	3
ENCFF141NOE_ENCFF096NVC.Aligned.sortedByCoord.out.bed	4
ENCFF520IZB_ENCFF922CIA.Aligned.sortedByCoord.out.bed	4
ENCFF255GEL_ENCFF930LDL.Aligned.sortedByCoord.out.bed	5
ENCFF582GSM_ENCFF299GUW.Aligned.sortedByCoord.out.bed	5
ENCFF337JPH_ENCFF383JIL.Aligned.sortedByCoord.out.bed	6
ENCFF520TTS_ENCFF665ECK.Aligned.sortedByCoord.out.bed	6
ENCFF434NYF_ENCFF319SJL.Aligned.sortedByCoord.out.bed	7
ENCFF258LSK_ENCFF112JHP.Aligned.sortedByCoord.out.bed	7
ENCFF460YOT_ENCFF051FJX.Aligned.sortedByCoord.out.bed	8
ENCFF737CSN_ENCFF782QYO.Aligned.sortedByCoord.out.bed	8
ENCFF496AYE_ENCFF507NTF.Aligned.sortedByCoord.out.bed	9
ENCFF490RJJ_ENCFF159BYZ.Aligned.sortedByCoord.out.bed	9
ENCFF500CKU_ENCFF550MXW.Aligned.sortedByCoord.out.bed	10
ENCFF078QWK_ENCFF003PFD.Aligned.sortedByCoord.out.bed	10
ENCFF552PZK_ENCFF597WVQ.Aligned.sortedByCoord.out.bed	11
ENCFF465JCY_ENCFF558FLF.Aligned.sortedByCoord.out.bed	11
ENCFF552VOE_ENCFF100IFZ.Aligned.sortedByCoord.out.bed	12
ENCFF230IAI_ENCFF550QYI.Aligned.sortedByCoord.out.bed	12
ENCFF683KQQ_ENCFF224AVH.Aligned.sortedByCoord.out.bed	13
ENCFF784BBJ_ENCFF559ZHD.Aligned.sortedByCoord.out.bed	13
ENCFF906ZOH_ENCFF930MSC.Aligned.sortedByCoord.out.bed	14
ENCFF788MKI_ENCFF990XOE.Aligned.sortedByCoord.out.bed	14
ENCFF921QKG_ENCFF918GPM.Aligned.sortedByCoord.out.bed	15
ENCFF803ODE_ENCFF545CCT.Aligned.sortedByCoord.out.bed	15
ENCFF986FDX_ENCFF747HQN.Aligned.sortedByCoord.out.bed	16
ENCFF225GWF_ENCFF047GFM.Aligned.sortedByCoord.out.bed	16
