file	batch
ENCFF738EQF_ENCFF692SOK.Aligned.sortedByCoord.out.bed	19
ENCFF159WAI_ENCFF319OMM.Aligned.sortedByCoord.out.bed	19
ENCFF137TWX_ENCFF205AZV.Aligned.sortedByCoord.out.bed	19
ENCFF060PJQ_ENCFF043CWG.Aligned.sortedByCoord.out.bed	9
ENCFF951GAY_ENCFF807YCT.Aligned.sortedByCoord.out.bed	9
ENCFF396KYT_ENCFF573HIO.Aligned.sortedByCoord.out.bed	3
ENCFF874XXC_ENCFF107JST.Aligned.sortedByCoord.out.bed	3
ENCFF159GLQ_ENCFF609ZGF.Aligned.sortedByCoord.out.bed	2
ENCFF820MIC_ENCFF159CHB.Aligned.sortedByCoord.out.bed	2
ENCFF036FUU_ENCFF669NRA.Aligned.sortedByCoord.out.bed	18
ENCFF639RYW_ENCFF176UEM.Aligned.sortedByCoord.out.bed	18
ENCFF568PEP_ENCFF908JTP.Aligned.sortedByCoord.out.bed	18
ENCFF538SEK_ENCFF392OOZ.Aligned.sortedByCoord.out.bed	18
ENCFF244QJS_ENCFF736GSG.Aligned.sortedByCoord.out.bed	18
ENCFF135UPG_ENCFF101AHA.Aligned.sortedByCoord.out.bed	18
ENCFF588DCA_ENCFF559MEU.Aligned.sortedByCoord.out.bed	19
ENCFF274QUG_ENCFF395YCC.Aligned.sortedByCoord.out.bed	19
ENCFF981YJO_ENCFF986GZZ.Aligned.sortedByCoord.out.bed	18
ENCFF506HBX_ENCFF449JOE.Aligned.sortedByCoord.out.bed	18
ENCFF909JIL_ENCFF528LTU.Aligned.sortedByCoord.out.bed	15
ENCFF492RGX_ENCFF546EIL.Aligned.sortedByCoord.out.bed	15
ENCFF699SLP_ENCFF300YSS.Aligned.sortedByCoord.out.bed	15
ENCFF799DHS_ENCFF437GLY.Aligned.sortedByCoord.out.bed	15
ENCFF499MZM_ENCFF967NWW.Aligned.sortedByCoord.out.bed	16
ENCFF126WYX_ENCFF997JAX.Aligned.sortedByCoord.out.bed	16
ENCFF312BEZ_ENCFF243JYZ.Aligned.sortedByCoord.out.bed	4
ENCFF722BTJ_ENCFF778YMB.Aligned.sortedByCoord.out.bed	4
ENCFF398QBO_ENCFF367VTF.Aligned.sortedByCoord.out.bed	16
ENCFF861LVQ_ENCFF222PBD.Aligned.sortedByCoord.out.bed	16
ENCFF885MSV_ENCFF305ONX.Aligned.sortedByCoord.out.bed	4
ENCFF100SJH_ENCFF735CTP.Aligned.sortedByCoord.out.bed	4
ENCFF363FSK_ENCFF950ZRE.Aligned.sortedByCoord.out.bed	2
ENCFF586XRQ_ENCFF932FIK.Aligned.sortedByCoord.out.bed	2
ENCFF377XYQ_ENCFF775WYI.Aligned.sortedByCoord.out.bed	4
ENCFF945JZG_ENCFF769KCN.Aligned.sortedByCoord.out.bed	4
ENCFF812KUN_ENCFF808GPR.Aligned.sortedByCoord.out.bed	4
ENCFF900UHQ_ENCFF248OUM.Aligned.sortedByCoord.out.bed	4
ENCFF424GGC_ENCFF112WSV.Aligned.sortedByCoord.out.bed	17
ENCFF453DMB_ENCFF025PTP.Aligned.sortedByCoord.out.bed	17
ENCFF669KOQ_ENCFF658PRA.Aligned.sortedByCoord.out.bed	17
ENCFF319RPT_ENCFF098JEU.Aligned.sortedByCoord.out.bed	17
ENCFF698RES_ENCFF313AOD.Aligned.sortedByCoord.out.bed	8
ENCFF562KIM_ENCFF955RLP.Aligned.sortedByCoord.out.bed	8
ENCFF086MEB_ENCFF263QFS.Aligned.sortedByCoord.out.bed	14
ENCFF193JOW_ENCFF089BME.Aligned.sortedByCoord.out.bed	14
ENCFF849RIS_ENCFF562WVL.Aligned.sortedByCoord.out.bed	19
ENCFF068SYD_ENCFF471HGA.Aligned.sortedByCoord.out.bed	19
ENCFF945UCS_ENCFF809RXW.Aligned.sortedByCoord.out.bed	14
ENCFF229JUP_ENCFF310TKS.Aligned.sortedByCoord.out.bed	14
ENCFF923YDW_ENCFF450MLM.Aligned.sortedByCoord.out.bed	17
ENCFF495GOM_ENCFF951VVW.Aligned.sortedByCoord.out.bed	17
ENCFF213MCU_ENCFF657IGD.Aligned.sortedByCoord.out.bed	15
ENCFF424KKC_ENCFF442PBB.Aligned.sortedByCoord.out.bed	15
ENCFF171ZQR_ENCFF006MAU.Aligned.sortedByCoord.out.bed	17
ENCFF307KAA_ENCFF681NFS.Aligned.sortedByCoord.out.bed	17
ENCFF550YSM_ENCFF046AMH.Aligned.sortedByCoord.out.bed	4
ENCFF612QCF_ENCFF781IVB.Aligned.sortedByCoord.out.bed	4
ENCFF064IPP_ENCFF565QAT.Aligned.sortedByCoord.out.bed	16
ENCFF449BGA_ENCFF125CIU.Aligned.sortedByCoord.out.bed	16
ENCFF755QIW_ENCFF649APN.Aligned.sortedByCoord.out.bed	15
ENCFF783UUV_ENCFF009FMP.Aligned.sortedByCoord.out.bed	15
ENCFF994HUD_ENCFF870YWT.Aligned.sortedByCoord.out.bed	4
ENCFF636KYE_ENCFF031NSR.Aligned.sortedByCoord.out.bed	4
ENCFF467MIH_ENCFF503AZV.Aligned.sortedByCoord.out.bed	15
ENCFF380UNU_ENCFF860WTK.Aligned.sortedByCoord.out.bed	15
ENCFF467GHE_ENCFF912HRO.Aligned.sortedByCoord.out.bed	4
ENCFF643TNV_ENCFF352FDV.Aligned.sortedByCoord.out.bed	4
ENCFF565FCA_ENCFF735STT.Aligned.sortedByCoord.out.bed	18
ENCFF144FYE_ENCFF629BHH.Aligned.sortedByCoord.out.bed	18
ENCFF103ZTW_ENCFF191FIB.Aligned.sortedByCoord.out.bed	7
ENCFF485AVX_ENCFF097YET.Aligned.sortedByCoord.out.bed	7
ENCFF105BJJ_ENCFF700HOG.Aligned.sortedByCoord.out.bed	19
ENCFF206UDF_ENCFF405LQL.Aligned.sortedByCoord.out.bed	19
ENCFF656GCJ_ENCFF992TJY.Aligned.sortedByCoord.out.bed	6
ENCFF146ZTR_ENCFF676ZXY.Aligned.sortedByCoord.out.bed	10
ENCFF250GGC_ENCFF180VEL.Aligned.sortedByCoord.out.bed	17
ENCFF433QAX_ENCFF292RTO.Aligned.sortedByCoord.out.bed	17
ENCFF837BXN_ENCFF361LFF.Aligned.sortedByCoord.out.bed	11
ENCFF309DSM_ENCFF212IXF.Aligned.sortedByCoord.out.bed	12
ENCFF817WSL_ENCFF808HXX.Aligned.sortedByCoord.out.bed	8
ENCFF975YJK_ENCFF616FIR.Aligned.sortedByCoord.out.bed	8
ENCFF059PTM_ENCFF074DDP.Aligned.sortedByCoord.out.bed	2
ENCFF433VXH_ENCFF095HYT.Aligned.sortedByCoord.out.bed	2
ENCFF992UMN_ENCFF158BNR.Aligned.sortedByCoord.out.bed	2
ENCFF490HGK_ENCFF743MHI.Aligned.sortedByCoord.out.bed	2
ENCFF545UCV_ENCFF418OWP.Aligned.sortedByCoord.out.bed	2
ENCFF638SLL_ENCFF164SOF.Aligned.sortedByCoord.out.bed	2
ENCFF350YOG_ENCFF273HWH.Aligned.sortedByCoord.out.bed	19
ENCFF325MKS_ENCFF224YEZ.Aligned.sortedByCoord.out.bed	19
ENCFF364IOV_ENCFF025MLI.Aligned.sortedByCoord.out.bed	14
ENCFF110PJK_ENCFF840LRS.Aligned.sortedByCoord.out.bed	14
ENCFF596FRE_ENCFF382SWU.Aligned.sortedByCoord.out.bed	14
ENCFF447JVU_ENCFF392VIA.Aligned.sortedByCoord.out.bed	14
ENCFF078GVE_ENCFF735MYQ.Aligned.sortedByCoord.out.bed	8
ENCFF958WDB_ENCFF932BIG.Aligned.sortedByCoord.out.bed	8
ENCFF184YJW_ENCFF872CPC.Aligned.sortedByCoord.out.bed	19
ENCFF247ZSP_ENCFF873YYX.Aligned.sortedByCoord.out.bed	19
ENCFF581ZBS_ENCFF892CQL.Aligned.sortedByCoord.out.bed	19
