file	batch
ENCFF653FTD_ENCFF621LMO.Aligned.sortedByCoord.out.bed	10
ENCFF425BPJ_ENCFF391YLM.Aligned.sortedByCoord.out.bed	9
ENCFF922AOZ_ENCFF115GMC.Aligned.sortedByCoord.out.bed	9
ENCFF114XOP_ENCFF931IOG.Aligned.sortedByCoord.out.bed	16
ENCFF624CYB_ENCFF562JKQ.Aligned.sortedByCoord.out.bed	16
ENCFF877ELN_ENCFF938GRX.Aligned.sortedByCoord.out.bed	10
ENCFF888DBC_ENCFF340YJW.Aligned.sortedByCoord.out.bed	10
ENCFF634NUL_ENCFF144IZI.Aligned.sortedByCoord.out.bed	24
ENCFF893DVI_ENCFF701BZS.Aligned.sortedByCoord.out.bed	24
ENCFF294QPX_ENCFF378AUD.Aligned.sortedByCoord.out.bed	16
ENCFF154YPK_ENCFF649TZL.Aligned.sortedByCoord.out.bed	16
ENCFF444CBA_ENCFF261NES.Aligned.sortedByCoord.out.bed	15
ENCFF183BFH_ENCFF054EQY.Aligned.sortedByCoord.out.bed	15
ENCFF651UOX_ENCFF587IKN.Aligned.sortedByCoord.out.bed	15
ENCFF594BHL_ENCFF285TAQ.Aligned.sortedByCoord.out.bed	15
ENCFF140QAZ_ENCFF863ITD.Aligned.sortedByCoord.out.bed	15
ENCFF036QID_ENCFF058KEJ.Aligned.sortedByCoord.out.bed	15
ENCFF760AWK_ENCFF280NEO.Aligned.sortedByCoord.out.bed	36
ENCFF814DNY_ENCFF973CMM.Aligned.sortedByCoord.out.bed	36
ENCFF002BZV_ENCFF002BZW.Aligned.sortedByCoord.out.bed	1
ENCFF002BZX_ENCFF002BZY.Aligned.sortedByCoord.out.bed	1
ENCFF990LNB_ENCFF648TGB.Aligned.sortedByCoord.out.bed	35
ENCFF611IYB_ENCFF537EIB.Aligned.sortedByCoord.out.bed	35
ENCFF308NNN_ENCFF987PKL.Aligned.sortedByCoord.out.bed	30
ENCFF355MPA_ENCFF422QVT.Aligned.sortedByCoord.out.bed	30
ENCFF179APZ_ENCFF374KHE.Aligned.sortedByCoord.out.bed	15
ENCFF952XLG_ENCFF609YVZ.Aligned.sortedByCoord.out.bed	15
ENCFF880DON_ENCFF899MED.Aligned.sortedByCoord.out.bed	15
ENCFF308UBT_ENCFF953CAQ.Aligned.sortedByCoord.out.bed	15
ENCFF717GWL_ENCFF552PPN.Aligned.sortedByCoord.out.bed	15
ENCFF491GQY_ENCFF578VZZ.Aligned.sortedByCoord.out.bed	15
ENCFF715EHE_ENCFF026NSC.Aligned.sortedByCoord.out.bed	27
ENCFF313ICC_ENCFF172GTQ.Aligned.sortedByCoord.out.bed	27
ENCFF614VYE_ENCFF352SRL.Aligned.sortedByCoord.out.bed	30
ENCFF525ZEB_ENCFF579COJ.Aligned.sortedByCoord.out.bed	30
ENCFF138LDH_ENCFF727HJS.Aligned.sortedByCoord.out.bed	15
ENCFF008UHA_ENCFF678ZQI.Aligned.sortedByCoord.out.bed	15
ENCFF002BZF_ENCFF002BZG.Aligned.sortedByCoord.out.bed	1
ENCFF002BZH_ENCFF002BZI.Aligned.sortedByCoord.out.bed	1
ENCFF002BZR_ENCFF002BZS.Aligned.sortedByCoord.out.bed	1
ENCFF002BZT_ENCFF002BZU.Aligned.sortedByCoord.out.bed	1
ENCFF522RTK_ENCFF165QZZ.Aligned.sortedByCoord.out.bed	13
ENCFF503FXG_ENCFF916QRY.Aligned.sortedByCoord.out.bed	13
ENCFF936LFG_ENCFF669IVD.Aligned.sortedByCoord.out.bed	20
ENCFF048UWF_ENCFF391UIO.Aligned.sortedByCoord.out.bed	20
ENCFF288GAY_ENCFF044DKC.Aligned.sortedByCoord.out.bed	24
ENCFF648ZMK_ENCFF665XYO.Aligned.sortedByCoord.out.bed	24
ENCFF911PIU_ENCFF202RJH.Aligned.sortedByCoord.out.bed	20
ENCFF871QXZ_ENCFF224DOE.Aligned.sortedByCoord.out.bed	20
ENCFF369DMQ_ENCFF828BNV.Aligned.sortedByCoord.out.bed	24
ENCFF962BRP_ENCFF474LCK.Aligned.sortedByCoord.out.bed	24
ENCFF461JUR_ENCFF982RUK.Aligned.sortedByCoord.out.bed	36
ENCFF184FWX_ENCFF127FKO.Aligned.sortedByCoord.out.bed	36
ENCFF316ENI_ENCFF566CSH.Aligned.sortedByCoord.out.bed	17
ENCFF325VMJ_ENCFF818PGA.Aligned.sortedByCoord.out.bed	17
ENCFF150HWI_ENCFF290TFQ.Aligned.sortedByCoord.out.bed	24
ENCFF075JON_ENCFF796EGU.Aligned.sortedByCoord.out.bed	24
ENCFF545UKS_ENCFF863JJI.Aligned.sortedByCoord.out.bed	17
ENCFF311RPE_ENCFF025VYH.Aligned.sortedByCoord.out.bed	17
ENCFF375RZP_ENCFF534IQA.Aligned.sortedByCoord.out.bed	36
ENCFF093ZYA_ENCFF085DKT.Aligned.sortedByCoord.out.bed	36
ENCFF984GTS_ENCFF004TES.Aligned.sortedByCoord.out.bed	8
ENCFF948DRW_ENCFF437UUS.Aligned.sortedByCoord.out.bed	8
ENCFF002BYT_ENCFF002BYU.Aligned.sortedByCoord.out.bed	3
ENCFF002BYV_ENCFF002BYW.Aligned.sortedByCoord.out.bed	3
ENCFF223LTB_ENCFF580RBD.Aligned.sortedByCoord.out.bed	27
ENCFF279MDC_ENCFF742FRP.Aligned.sortedByCoord.out.bed	27
ENCFF062FPH_ENCFF036HBQ.Aligned.sortedByCoord.out.bed	27
ENCFF496FRF_ENCFF589MCF.Aligned.sortedByCoord.out.bed	27
ENCFF002BUG_ENCFF002BUH.Aligned.sortedByCoord.out.bed	2
ENCFF002BUI_ENCFF002BUJ.Aligned.sortedByCoord.out.bed	2
